N|Acuraccy|Precision|Recall|F-Measure|Class|Domain|DomainValue|Comment
82|0.8857143|0.96825397|0.9104478|0.93846154|1|Subject:Nuisance_fee|0.500000000|"""@bill215_: &#128175;&#128175;&#128175; rt @nel_ayden bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches.."
83|0.8873239|0.96875|0.9117647|0.939394|1|Subject:Stress_position|0.150000006|"""@bitchjones92: get worshiping bitch! http://t.co/r37cejcjou"" woof woof"
85|0.8888889|0.9692308|0.9130435|0.94029856|1|Subject:Nuisance_fee|0.250000000|"""@blacknerdjade: ok, sis."" she'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her"
87|0.89041096|0.969697|0.9142857|0.94117653|1|Subject:Serial_rapist|0.137500003|"""@brokenpiecesmsc: @itsnotadam faggot read my tweets after dat k"" it wasn't even funny lol"
91|0.8918919|0.9701493|0.91549295|0.94202894|1|Subject:Abuse_of_information|0.200000003|"""@ccobey: @aydanmccoy happy birthday nigs"" thanks yo"
92|0.8933333|0.9705882|0.9166667|0.94285715|1|Subject:Offences_Against_the_Person_Act|0.414814830|"""@chlldhoodruiner: when ur teacher tells u that u have homework https://t.co/rkk5vawij1"" this bitch need to go!!!"
93|0.8947368|0.9710145|0.91780823|0.943662|1|Subject:John_Patrick_Bedell|0.250000000|"""@caelang15: ""@22edham: @caelang15 that nigga was eating that hoe lol"" hell yea lol john paul"" nigga said john paul.. http://t.co/osipbkpr9h"
94|0.8961039|0.9714286|0.9189189|0.9444444|1|Subject:Offences_Against_the_Person_Act|0.522222221|"""@canifuckornah: what would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?"""
95|0.8974359|0.97183096|0.92|0.9452055|1|Subject:Offence_against_the_person|0.300000012|"""@carelessone92: leafs better win this damn game so i can go riot and shit #earlychristmas"" you better start looting my nig"
96|0.89873415|0.9722222|0.92105263|0.945946|1|Subject:Iron_chair|0.300000012|"""@causewereguys: going back to school sucks more dick than the hoes who attend it."""
97|0.9|0.9726027|0.9220779|0.94666666|1|Subject:Stress_position|0.300000012|"""@causewereguys: on my way to fuck yo bitch http://t.co/j906t5ze2r"" me as a 9 year old"
98|0.90123457|0.972973|0.9230769|0.9473684|1|Subject:Right_to_work|0.250000000|"""@celeynichole: @white_thunduh how come you never bring me food"" i dont have a car retard"
99|0.902439|0.97333336|0.9240506|0.948052|1|Subject:Adult_abuse|0.250000000|"""@chadmfverbeck: if richnow doesn't show up with hella tinder hoes im not his friend anymore"" chill i brought like like 8 prople"
100|0.90361446|0.9736842|0.925|0.9487179|1|Subject:Adult_abuse|0.200000003|"""@chandlerparsons: how bout them cowboys!!!!"" shutup pussy"
101|0.9047619|0.97402596|0.9259259|0.94936705|1|Subject:Nuisance_fee|0.500000000|"""@clicquotsuave: lmaooooooooooo this nigga @krillz_nuh_care http://t.co/aanpsujmyi"" &lt;bitch want likes for some depressing shit..foh"
102|0.90588236|0.974359|0.9268293|0.95|1|Subject:Offences_Against_the_Person_Act|0.833333373|"""@coley_cee: @lil_aerii girl you know i was spitting that g shit to you &amp; you was going lbvs""bitch plz"
103|0.90697676|0.9746835|0.92771083|0.9506173|1|Subject:Kishka_(prison_cell)|0.300000012|"""@coley_cee: let me make a couple tweets off cuzzo page, so i won't get in twitter jail.""lmao bitch don't trick me again"
104|0.90804595|0.975|0.9285714|0.9512195|1|Subject:Right_to_work|0.375000030|"""@comedyposts: harlem shake is just an excuse to go full retard for 30 seconds."""
105|0.90909094|0.97530866|0.92941177|0.9518072|1|Subject:Offences_Against_the_Person_Act|0.466666669|"""@comedytruth: amen miley &#128591; http://t.co/p2kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh"
106|0.9101124|0.9756098|0.9302326|0.952381|1|Subject:Adult_abuse|0.449999988|"""@corybandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;"""
107|0.9111111|0.97590363|0.9310345|0.95294124|1|Subject:Animal_bite|0.133333340|"""@crhedry: pussy licking pussy.... meow meow #stopwhitepeople2014 &#128049; https://t.co/keegdcjs5k&#8221;"""""""" &#128533;"
108|0.9120879|0.97619045|0.9318182|0.9534884|1|Subject:Adult_abuse|0.899999976|"""@dbab_holloway: check out our 12th man. #cowboysnation"" even with all those faggot ny fans in the stands"
110|0.9130435|0.9764706|0.9325843|0.954023|1|Subject:Offences_Against_the_Person_Act|0.655555606|"""@daedavidavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow"
111|0.9139785|0.9767442|0.93333334|0.95454544|0|Subject:Human_branding|0.334821403|"""@devilgrimz: @vigxrarts you're fucking gay, blacklisted hoe"" holding out for #tehgodclan anyway http://t.co/xuccwoetmn"
112|0.9148936|0.9770115|0.93406594|0.9550562|1|Subject:Offences_Against_the_Person_Act|0.300000012|"""@diamondloudkush: the fuck be wrong with these bitches?"" nobody knows"
113|0.9157895|0.97727275|0.9347826|0.95555556|1|Subject:Bitch_tits|0.250000000|"""@dietrich1892: yall shut up:p"" make me bitch"
114|0.9166667|0.9775281|0.9354839|0.95604396|1|Subject:Adult_abuse|0.333333343|"""@dionairish: i hate a ""i'm pregnant"" type of bitch."""
115|0.91752577|0.9777778|0.9361702|0.9565217|1|Subject:Fundaci?n_Mujeres_en_Igualdad|0.176000014|"""@doyou_q: got bitches in the dm but i don't ever read'em"" which is y your top 3"
116|0.90816325|0.9777778|0.9263158|0.95135134|2|Subject:Death_by_boiling|0.192386836|"""@domworldpeace: baseball season for the win. #yankees"" this is where the love started"
117|0.90909094|0.978022|0.9270833|0.95187163|1|Subject:Offences_Against_the_Person_Act|0.300000012|"""@dommoneek: little stupid as bitch i don't fuck with yoooooouuuu.."""
118|0.91|0.9782609|0.92783505|0.9523809|1|Subject:Offence_against_the_person|0.338624358|"""@dreadheadari: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" lol"
119|0.9009901|0.9782609|0.9183673|0.94736844|2|Subject:Claimants_Bill_of_Rights|0.324999988|"""@dunderbail: i'm an early bird and i'm a night owl, so i'm wise and have worms."""
120|0.89215684|0.9782609|0.90909094|0.94240844|2|Subject:Offences_Against_the_Person_Act|0.266666681|"""@edgarpixar: overdosing on heavy drugs doesn't sound bad tonight."" i do that pussy shit every day."
121|0.88349515|0.9782609|0.9|0.9375|2|Subject:Adult_abuse|1.100000024|"""@el_grillo1: pit bulls photographed as lovely fairy tale creatures http://t.co/q0sm89oolh&#8221; they *are* fairy tale creatures."
122|0.88461536|0.97849464|0.9009901|0.9381444|1|Subject:Poof|0.333333343|"""@ferocious_ghost: @1stname_bravo aw."" ...fag, don't tweet ""aw"" to me lol"
124|0.8857143|0.9787234|0.9019608|0.93877554|1|Subject:Poof|0.333333343|"""@frosstyy_: @h0rheyd i didn't say anything tho"" kiss me then faggot"
125|0.8773585|0.9787234|0.89320385|0.93401015|2|Subject:Time-out_(parenting)|0.333333343|"""@funnypicsdepot: this the ""i play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/zuai7qwbir"" &#128514; yup"
126|0.8785047|0.97894734|0.8942308|0.93467337|1|Subject:Offences_Against_the_Person_Act|0.414814830|"""@g27status: i could go for a fat ass bitch on my lap"" same"
127|0.8796296|0.9791667|0.8952381|0.9353234|1|Subject:Bitch_tits|0.250000000|"""@gedmelle: 17 missed calls!!!! &#128544;&#128545;""das yo p.o bitch twitter finna be screamn #freemoneymelle"
128|0.88073397|0.97938144|0.8962264|0.9359606|1|Subject:Offences_Against_the_Person_Act|0.699999988|"""@gtm_al: ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;"
129|0.8818182|0.97959185|0.89719623|0.9365853|1|Subject:Three_Evils|0.156250000|"""@gagatom1: &#8220;@malefoot: 3 | amo los pies http://t.co/4qe1hdkk8i&#8221;"" fuck yeah"
130|0.8828829|0.97979796|0.8981481|0.937198|1|Subject:Orchid_View|0.222222224|"""@girlthatsvonte: these hoes be thinking meat won't slap they ass &#128564;&#128075;"" ainna bruh"
131|0.8839286|0.98|0.89908254|0.93779904|1|Subject:Abuse_of_information|0.449999988|"""@girlthatsvonte: yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;"
132|0.88495576|0.980198|0.9|0.9383886|1|Subject:Nuisance_fee|0.500000000|"""@girlthatsvonte: yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit"
133|0.88596493|0.98039216|0.9009009|0.9389671|1|Subject:Right_to_work|0.305555552|"""@girllssues: i wanna have sex with my mom fuck her right in that pussy where i came from"" damn you got hacked like fuck"
134|0.8869565|0.98058254|0.90178573|0.93953484|1|Subject:Bitch_tits|0.250000000|"""@gizzy_jones94: if she kiss u with her eyes open watch that bitch!""lmfao"
135|0.88793105|0.9807692|0.9026549|0.9400922|1|Subject:Animal_bite|0.166666672|"""@goofstroop: you a woulda coulda shoulda ass hoe &#128563;&#128586;"""
136|0.8888889|0.9809524|0.9035088|0.94063926|1|Subject:Offences_Against_the_Person_Act|0.566666663|"""@gotti_ltf: happy bday bitch ass nigga @jetsandaswisher""preciate that bitch roll up!"
137|0.8898305|0.9811321|0.90434784|0.9411765|1|Subject:Offences_Against_the_Person_Act|0.433333337|"""@hbmostdope: @1jayee @pipinhoes used to send that bitch up"""
138|0.8907563|0.9813084|0.9051724|0.94170403|1|Subject:Offences_Against_the_Person_Act|0.300000012|"""@hbmostdope: ugly bitches be like i'm my own wcw duh bitch you ain't nobody elses&#128514;&#128514;"""
139|0.89166665|0.9814815|0.9059829|0.94222224|1|Subject:Jetliner_position|0.200000003|"""@halotgmg: @1stname_bravo nigga you know we hacky sack hoes."" ...nah, i throw no look passes lmao"
140|0.892562|0.98165137|0.90677965|0.94273126|1|Subject:Kishka_(prison_cell)|0.300000012|"""@heartlessfuck: glad i'm getting outta atlanta. nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em."""
141|0.8852459|0.98165137|0.89915967|0.93859655|2|Subject:Psychology_of_torture|0.187500000|"""@hermosaalma: this isn't ghetto.....it's smart https://t.co/mpazq3jswf"" i'm doing this idc"
142|0.88617885|0.9818182|0.9|0.9391304|1|Subject:Offence_against_the_person|0.414814830|"""@hiimjorib: i would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?"
143|0.88709676|0.981982|0.90082645|0.9396552|1|Subject:2_+_2_=_5|0.144444451|"""@hornyfacts: being single isn't an excuse to be a hoe."" @theonemiss_luu"
144|0.888|0.98214287|0.90163934|0.94017094|1|Subject:Black_knight|0.258749992|"""@hoskinsty96: white boy power bitch"" black power bitch"
145|0.8888889|0.9823009|0.902439|0.94067794|1|Subject:Offences_Against_the_Person_Act|0.533333361|"""@hudgens_11: lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" bro white dudes have no chill."
146|0.8897638|0.98245615|0.9032258|0.9411765|1|Subject:Offences_Against_the_Person_Act|0.281481504|"""@iscoutgirls: @verbally_abrupt bitch where u been"" around the world and back. where you been?"
147|0.890625|0.9826087|0.904|0.9416667|1|Subject:Offences_Against_the_Person_Act|0.355555594|"""@itsyahboiray: @anelylove if i don't get my dick sucked at yo party by a bad bitch i'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *"
148|0.8914729|0.98275864|0.9047619|0.9421488|1|Subject:Grapple_Ray|0.125000000|"""@itsyesie: #oomf is soooo cute. but he probably has hoes on him a lot."""
149|0.8923077|0.982906|0.9055118|0.94262296|1|Subject:Offences_Against_the_Person_Act|0.300000012|"""@jayten9: in every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9ukd8wtz6x"" lmao damn captain saveahoe"
150|0.8854962|0.982906|0.8984375|0.9387755|2|Subject:Total_balance|0.179999992|"""@jreebo: who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/feqxgn0w6i"" hot sox and legs"
151|0.8863636|0.9830508|0.8992248|0.9392713|1|Subject:Offences_Against_the_Person_Act|0.433333337|"""@jamesynba: i wish i was a bitch like my brother keezy &#128530;"" ooooow i bet you do"
152|0.88721806|0.9831933|0.9|0.939759|1|Subject:Spray-on_clothing|0.266666681|"""@jasminepore: if you dressed up as a cat for halloween you are basic."" ...or a pussy"
153|0.8880597|0.98333335|0.90076333|0.9402391|1|Subject:Offences_Against_the_Person_Act|0.433333337|"""@jewelxo: can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @pornhub get on it katie&lt;3"
154|0.8888889|0.9834711|0.9015151|0.9407115|1|Subject:Offences_Against_the_Person_Act|0.688888907|"""@joebudden: stop being scared to choke her during sex u bitch ass niggas. she&#8217;ll like it."". says the guy who hits women out of bed. foh"
155|0.8897059|0.9836066|0.90225565|0.9411765|1|Subject:Grapple_Ray|0.125000000|"""@johnny55perez: @white_thunduh ha well iguess i make them hoes loyal bro"" theyll never be loyal that y they hoes my nig"
156|0.890511|0.98373985|0.9029851|0.9416343|1|Subject:Adult_abuse|1.083333373|"""@kazatta: @1takehov oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed"
158|0.8913044|0.983871|0.9037037|0.94208497|1|Subject:The_Mother_(Hindi_Film)|0.138888896|"""@keyshawnswag: lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? my nigga!!!"
159|0.8848921|0.983871|0.89705884|0.93846154|2|Subject:Offences_Against_the_Person_Act|0.433333337|"""@keyshawnswag: peel up peel up bring it back up rewind back where i'm from they move shaq from the line"" ooooow who tf said that trash!!?"
161|0.8857143|0.984|0.8978102|0.93893135|1|Subject:Talking_shit|0.224999994|"""@kinghendo95: @vondreaam naw it's my old tape. new cover . my upcoming mixtape is #kingofthehill"" yeah i'm waiting on that hoe mayne!"
163|0.8865248|0.984127|0.89855075|0.9393939|1|Subject:Right_to_die|0.283333331|"""@king_shawn_6: @white_thunduh that's where i get my yellow flags for being amazing &#128079;&#128524;"" hell yeah niggy"
165|0.8802817|0.984127|0.8920863|0.9358491|2|Subject:Adult_abuse|0.222222224|"""@knightfanneal #ucfpinkparty come on stay alive knights nation!!!!"" this is still the early bird special. #comeatmeut"
166|0.8811189|0.984252|0.89285713|0.9363296|1|Subject:Adult_abuse|0.200000003|"""@kyranadiya_: these hoes ain't loyal ; no they ain't http://t.co/h1ubsvbkgl"" smfh &amp; wonder why nobody decent wants them"
167|0.8819444|0.984375|0.89361703|0.936803|1|Subject:Offences_Against_the_Person_Act|0.581481457|"""@lcistj: bruh, you studs keep thinking i'm soft as hell. ask ya girl how many times she screamed she was my bitch. oh okay. stfu."" bye hoe!"
168|0.8827586|0.9844961|0.8943662|0.9372694|1|Subject:Offences_Against_the_Person_Act|0.266666681|"""@lodycash: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;"
170|0.8835617|0.9846154|0.8951049|0.937729|1|Subject:School_of_the_Americas_Watch|0.420138866|"""@laflaregodjosh: gucci mane in jail and dropping mixtapes every month and you hoes can't even text back"""
171|0.88435376|0.9847328|0.8958333|0.93818176|1|Subject:Adult_abuse|0.200000003|"""@latrobemark: you love these hoes more then money wats wrong these niggas"""
172|0.8851351|0.9848485|0.8965517|0.9386282|1|Subject:Offences_Against_the_Person_Act|0.655555606|"""@lebronvuitton: a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo."" ...sounding like me over there lol"
173|0.88590604|0.9849624|0.89726025|0.9390681|1|Subject:Abuse_of_information|0.333333343|"""@lilfridayhoe: easy cum, easy hoe"" that's a fact !"
174|0.88666666|0.98507464|0.8979592|0.9395018|1|Subject:Psychology_of_torture|0.150000006|"""@lifeasbros: charlie sheen is too real http://t.co/gggdk3kov7"" major fucking respect for charlie sheen."
175|0.8874172|0.9851852|0.8986486|0.9399293|1|Subject:Right_to_work|0.125000000|"""@lightskingawdd: wish i had a bae &#128533;"" you got all the hoes tho"
176|0.8881579|0.9852941|0.8993289|0.94035083|1|Subject:Offences_Against_the_Person_Act|0.266666681|"""@lil_mike_12: fuck twerking bitch can you cook ?"""
178|0.8888889|0.98540145|0.9|0.9407665|1|Subject:Adult_abuse|0.583333373|"""@lipe_the_great: &#8220;@h0rheyd: ""@lipe_the_great: shut up zoe"" fight me pussy&#8221; for zoe? i'm good, man."" you are good ma'am. move along now"
179|0.8896104|0.98550725|0.90066224|0.94117653|1|Subject:Stress_position|0.150000006|"""@lolaaisdope: lmao fucking snake bitches"" @ em"
