N|Acuraccy|Precision|Recall|F-Measure|Class|Domain|DomainValue|Comment
15|0.23529412|0.13333334|1.0|0.23529413|1||0.0|""" bitch get up off me """
16|0.22222222|0.125|1.0|0.22222222|1||0.0|""" bitch nigga miss me with it """
17|0.21052632|0.11764706|1.0|0.21052632|1||0.0|""" bitch plz whatever """
18|0.2|0.11111111|1.0|0.19999999|1||0.0|""" bitch who do you love """
19|0.23809524|0.15789473|1.0|0.27272725|1||0.2|""" bitches get cut off everyday b """
20|0.22727273|0.15|1.0|0.2608696|1||0.0|""" black bottle &amp; a bad bitch """
21|0.2173913|0.14285715|1.0|0.25|1||0.0|""" broke bitch cant tell me nothing """
22|0.20833333|0.13636364|1.0|0.24000001|1||0.0|""" cancel that bitch like nino """
23|0.2|0.13043478|1.0|0.23076923|1||0.0|""" cant you see these hoes wont change """
24|0.1923077|0.125|1.0|0.22222222|1||0.0|""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the kermit videos bout to fuck ig up"
25|0.18518518|0.12|1.0|0.2142857|1||0.0|""" got ya bitch tip toeing on my hardwood floors "" &#128514; "
26|0.17857143|0.115384616|1.0|0.20689656|1||0.0|""" her pussy lips like heaven doors "" &#128524;"
27|0.1724138|0.11111111|1.0|0.19999999|1||0.0|""" hoe what its hitting for """
28|0.16666667|0.10714286|1.0|0.1935484|1||0.0|""" i met that pussy on ocean dr . i gave that pussy a pill "" &#128524;"
29|0.16129032|0.10344828|1.0|0.1875|1||0.0|""" i need a trippy bitch who fuck on hennessy """
30|0.15625|0.1|1.0|0.18181819|1||0.0|""" i spend my money how i want bitch its my business """
31|0.15151516|0.09677419|1.0|0.17647058|1||0.0|""" i txt my old bitch my new bitch pussy wetter """
32|0.14705883|0.09375|1.0|0.17142858|1||0.0|""" i'd say im back to the old me but my old bitches would get excited "" &#128524;"
33|0.14285715|0.09090909|1.0|0.16666667|1||0.0|""" if you aint bout that murder game pussy nigga shut up """
34|0.1388889|0.0882353|1.0|0.16216217|1||0.0|""" if you're toes ain't done you pussy stinks """
35|0.13513513|0.08571429|1.0|0.15789473|1||0.0|""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """
36|0.13157895|0.083333336|1.0|0.15384616|1||0.0|""" is that ya bitch """
37|0.12820514|0.08108108|1.0|0.15|1||0.0|""" it aint nothing to cut a bitch off """
38|0.125|0.078947365|1.0|0.14634147|1||0.0|""" jus meet son now he ya mane ass bitches "" #shots"
39|0.12195122|0.07692308|1.0|0.14285713|1||0.0|""" lames crying over hoes thats tears of a clown """
40|0.11904762|0.075|1.0|0.13953488|1||0.0|""" like snoop said in 94 we dont love these hoes """
41|0.13953489|0.075|1.0|0.13953488|2||0.0|""" momma said no pussy cats inside my doghouse """
42|0.13636364|0.07317073|1.0|0.13636363|1||0.0|""" most hated but the hoes favorite "" #2mw #sevenone # "
43|0.13333334|0.071428575|1.0|0.13333334|1||0.0|""" nice girls bad, make me get naughty. bad yello hoe, real nice body. down south chick, like em real thick"" "
44|0.13043478|0.069767445|1.0|0.13043478|1||0.0|""" pimps up pimps up hoes down "" future voice"
45|0.12765957|0.06818182|1.0|0.12765957|1||0.0|""" post a picture of that pussy get 200 likes """
46|0.125|0.06666667|1.0|0.125|1||0.0|""" pussy is a powerful drug "" &#128517; #happyhumpday "
47|0.12244898|0.06521739|1.0|0.12244898|1||0.0|""" quick piece of pussy call it a drive by """
48|0.12|0.06382979|1.0|0.12|1||0.0|""" running round here like some brand new pussy thats bout to get fucked """
49|0.11764706|0.0625|1.0|0.11764706|1||0.0|""" these bitches even worst they'll send them guys for you """
50|0.115384616|0.06122449|1.0|0.11538462|1||0.0|""" these hoes like niggas that spend money not talk bout it """
51|0.11320755|0.06|1.0|0.11320755|1||0.0|""" we dont trust these niggas all these bitches """
52|0.12962963|0.078431375|1.0|0.14545456|1||0.11111111|""" yall niggas b cuffing hoes cause yall aint never have bitches """
53|0.12727273|0.07692308|1.0|0.14285713|1||0.0|""" you dodge a bullet "" &#128517; &#8220;@darealkha: ""all da bitches i cut off pregnant or bound to be ....thank god &#128591;""&#8221;"
54|0.125|0.0754717|1.0|0.1403509|1||0.0|""" young pill chamberlain these bitches love my music """
55|0.12280702|0.074074075|1.0|0.13793103|1||0.0|"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@vandalsavage_: teanna trump probably cleaner than most of these twitter hoes but........."""
56|0.12068965|0.07272727|1.0|0.1355932|1||0.0|"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@dahomiefuzz: gay niggas couldn't wait to act like bitches tonight"""
57|0.118644066|0.071428575|1.0|0.13333334|1||0.0|"""&#128514;&#128514;&#128514;@the_paradox: and ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; rt @80sbaby4life: @the_paradox he a bitch you should do it"""
58|0.11666667|0.07017544|1.0|0.13114755|1||0.0|"""&amp; he's gone always be a hoe"""
59|0.114754096|0.06896552|1.0|0.12903225|1||0.0|"""...son of a bitch took my tic tacs."" i like this movie."
60|0.11290322|0.06779661|1.0|0.12698413|1||0.0|"""..all i wanna do is get money and fuck model bitches!"" - russell simmons"
61|0.11111111|0.06666667|1.0|0.125|1||0.0|"""@2015seniorprobs: i probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". retweet"
62|0.109375|0.06557377|1.0|0.12307691|1||0.0|"""@a7xdemery: i'm a fucking fag they said"""
63|0.10769231|0.06451613|1.0|0.121212125|1||0.0|"""@arizzleindacut: females think dating a pussy is cute now? "" how does doing this stuff make him a pussy?"
64|0.121212125|0.06451613|1.0|0.121212125|2||0.0|"""@addicted2guys: -simplyaddictedtoguys "" woof woof hot scally lad"
65|0.11940298|0.06349207|1.0|0.11940299|1||0.0|"""@adorebellaaa: have ya ever asked your bitch for other bitches - kanye voice"" yes"
66|0.11764706|0.0625|1.0|0.11764706|1||0.0|"""@adorezoey: how u gone bring ur side bitch to a game where you know ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" i swear!!!!!"
67|0.13043478|0.0625|1.0|0.11764706|2||0.0|"""@allaboutmanfeet: "" woof woof and hot soles"
68|0.14285715|0.0625|1.0|0.11764706|2||0.0|"""@allyhaaaaa: lemmie eat a oreo &amp; do these dishes."" one oreo? lol"
69|0.14084508|0.06153846|1.0|0.11594203|1||0.0|"""@almightywayne__: @jetsandaswisher @gook____ bitch fuck u "" maybe you'll get better. just "
70|0.1388889|0.060606062|1.0|0.11428572|1||0.0|"""@almightywayne__: fuck red malone man bitch ass niggah"" could you please use complete sentences?"
71|0.15068494|0.060606062|1.0|0.11428572|2||0.0|"""@arizonasfinest6: why the eggplant emoji doe?""y he say she looked like scream lmao"
72|0.14864865|0.05970149|1.0|0.11267606|1||0.0|"""@autoworid: hennessey venom gt &#128584; "" that's one sexy bitch"
73|0.14666666|0.05882353|1.0|0.111111104|1||0.0|"""@bossbytchh: him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!"
74|0.14473684|0.057971016|1.0|0.10958905|1||0.0|"""@bro_hen314: #eaglesnation and every #eagles need to see that pic i just posted because that bitch just said the most racist shit"""
75|0.14285715|0.057142857|1.0|0.10810811|1||0.0|"""@bvsedchink: yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life "" @amjemiebenn"
76|0.15384616|0.057142857|1.0|0.10810811|2||0.0|"""@babyanimalpics: baby monkey bathtime "" awwwwe! this is soooo adorable!"
77|0.15189873|0.056338027|1.0|0.10666666|1||0.0|"""@baylaagottabody: &#128514;&#128514;&#128514;&#128514; i ain't shit ."" damn skippy lol"
78|0.15|0.055555556|1.0|0.10526316|1||0.05882353|"""@beeasyjrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""no bs must b &gt;30%chance"
79|0.14814815|0.05479452|1.0|0.103896104|1||0.0|"""@beenbasedb: @_kudabrazyy "" 0 rings 0 mvps 0 bitches lol"
80|0.14634146|0.054054055|1.0|0.10256411|1||0.0|"""@beenflynsolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !"""
81|0.15662651|0.06666667|1.0|0.125|1||0.16666667|"""@bestproadvice: the facts on tattoos...tattoo "" he's a pussy with not tattooing them nipples"
82|0.15476191|0.065789476|1.0|0.1234568|1||0.0|"""@bill215_: &#128175;&#128175;&#128175; rt @nel_ayden bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches.."
83|0.15294118|0.064935066|1.0|0.121951215|1||0.0|"""@bitchjones92: get worshiping bitch! "" woof woof"
84|0.15116279|0.06410257|1.0|0.12048194|1||0.0|"""@blackchiquitita: wow. rt @thatmanpalmer i'm lost. are those buttcheek piercings? "" yeah she's a hoe"
85|0.14942528|0.06329114|1.0|0.11904761|1||0.0|"""@blacknerdjade: ok, sis."" she'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her"
86|0.1590909|0.075|1.0|0.13953488|0||0.2|"""@blackman38tide: @whalelookyhere @howdydowdy11 queer"" gaywad"
87|0.15730338|0.074074075|1.0|0.13793103|1||0.0|"""@brokenpiecesmsc: @itsnotadam faggot read my tweets after dat k"" it wasn't even funny lol"
88|0.15555556|0.07317073|1.0|0.13636363|1||0.0|"""@brosconfessions: this bitch was so ungrateful "" fr ..... lulwhore"
89|0.15384616|0.072289154|1.0|0.13483146|1||0.0|"""@cashandboobies: i been kidnapped yo bitch"""
90|0.16304348|0.083333336|1.0|0.15384616|0||0.14285715|"""@cb_baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican"
91|0.16129032|0.08235294|1.0|0.1521739|1||0.0|"""@ccobey: @aydanmccoy happy birthday nigs"" thanks yo"
92|0.15957446|0.08139535|1.0|0.15053762|1||0.0|"""@chlldhoodruiner: when ur teacher tells u that u have homework "" this bitch need to go!!!"
93|0.15789473|0.08045977|1.0|0.14893617|1||0.0|"""@caelang15: ""@22edham: @caelang15 that nigga was eating that hoe lol"" hell yea lol john paul"" nigga said john paul.. "
94|0.15625|0.07954545|1.0|0.14736842|1||0.0|"""@canifuckornah: what would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?"""
95|0.15463917|0.07865169|1.0|0.14583334|1||0.0|"""@carelessone92: leafs better win this damn game so i can go riot and shit #earlychristmas"" you better start looting my nig"
96|0.15306123|0.07777778|1.0|0.1443299|1||0.0|"""@causewereguys: going back to school sucks more dick than the hoes who attend it."""
97|0.15151516|0.07692308|1.0|0.14285713|1||0.0|"""@causewereguys: on my way to fuck yo bitch "" me as a 9 year old"
98|0.15|0.07608695|1.0|0.14141414|1||0.0|"""@celeynichole: @white_thunduh how come you never bring me food"" i dont have a car retard"
99|0.14851485|0.07526882|1.0|0.14|1||0.0|"""@chadmfverbeck: if richnow doesn't show up with hella tinder hoes im not his friend anymore"" chill i brought like like 8 prople"
100|0.14705883|0.07446808|1.0|0.13861385|1||0.0|"""@chandlerparsons: how bout them cowboys!!!!"" shutup pussy"
101|0.14563107|0.07368421|1.0|0.1372549|1||0.0|"""@clicquotsuave: lmaooooooooooo this nigga @krillz_nuh_care "" &lt;bitch want likes for some depressing shit..foh"
102|0.14423077|0.072916664|1.0|0.13592233|1||0.0|"""@coley_cee: @lil_aerii girl you know i was spitting that g shit to you &amp; you was going lbvs""bitch plz"
103|0.14285715|0.072164945|1.0|0.13461539|1||0.0|"""@coley_cee: let me make a couple tweets off cuzzo page, so i won't get in twitter jail.""lmao bitch don't trick me again"
104|0.14150943|0.071428575|1.0|0.13333334|1||0.0|"""@comedyposts: harlem shake is just an excuse to go full retard for 30 seconds."""
105|0.14018692|0.07070707|1.0|0.13207546|1||0.0|"""@comedytruth: amen miley &#128591; ""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh"
106|0.1388889|0.07|1.0|0.13084112|1||0.0|"""@corybandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;"""
107|0.13761468|0.06930693|1.0|0.12962963|1||0.0|"""@crhedry: pussy licking pussy.... meow meow #stopwhitepeople2014 &#128049; """""""" &#128533;"
108|0.13636364|0.068627454|1.0|0.12844037|1||0.0|"""@dbab_holloway: check out our 12th man. #cowboysnation"" even with all those faggot ny fans in the stands"
109|0.13513513|0.067961164|1.0|0.12727273|1||0.0|"""@dgotbricks: what happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch"
110|0.13392857|0.067307696|1.0|0.12612613|1||0.0|"""@daedavidavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow"
111|0.13274336|0.06666667|1.0|0.125|0||0.0|"""@devilgrimz: @vigxrarts you're fucking gay, blacklisted hoe"" holding out for #tehgodclan anyway "
112|0.13157895|0.06603774|1.0|0.123893805|1||0.0|"""@diamondloudkush: the fuck be wrong with these bitches?"" nobody knows"
113|0.13043478|0.06542056|1.0|0.122807026|1||0.0|"""@dietrich1892: yall shut up:p"" make me bitch"
114|0.12931034|0.06481481|1.0|0.12173913|1||0.0|"""@dionairish: i hate a ""i'm pregnant"" type of bitch."""
115|0.12820514|0.06422018|1.0|0.12068965|1||0.0|"""@doyou_q: got bitches in the dm but i don't ever read'em"" which is y your top 3"
116|0.13559322|0.06422018|1.0|0.12068965|2||0.0|"""@domworldpeace: baseball season for the win. #yankees"" this is where the love started"
117|0.13445379|0.06363636|1.0|0.11965813|1||0.0|"""@dommoneek: little stupid as bitch i don't fuck with yoooooouuuu.."""
118|0.13333334|0.06306306|1.0|0.11864407|1||0.0|"""@dreadheadari: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" lol"
119|0.14049587|0.06306306|1.0|0.11864407|2||0.0|"""@dunderbail: i'm an early bird and i'm a night owl, so i'm wise and have worms."""
120|0.14754099|0.06306306|1.0|0.11864407|2||0.0|"""@edgarpixar: overdosing on heavy drugs doesn't sound bad tonight."" i do that pussy shit every day."
121|0.14634146|0.06306306|0.875|0.11764706|2||0.125|"""@el_grillo1: pit bulls photographed as lovely fairy tale creatures  they *are* fairy tale creatures."
122|0.14516129|0.0625|0.875|0.11666667|1||0.0|"""@ferocious_ghost: @1stname_bravo aw."" ...fag, don't tweet ""aw"" to me lol"
123|0.152|0.0625|0.875|0.11666667|2||0.0|"""@flokid88: as long as the lakers trash from now on, i could careless. and that's real."". cc: @benballer hahaha"
124|0.15079366|0.061946902|0.875|0.11570248|1||0.0|"""@frosstyy_: @h0rheyd i didn't say anything tho"" kiss me then faggot"
125|0.15748031|0.061946902|0.875|0.11570248|2||0.0|"""@funnypicsdepot: this the ""i play soccer, cheat on girls, and wear khaki coloured cargos"" haircut "" &#128514; yup"
126|0.15625|0.06140351|0.875|0.114754096|1||0.0|"""@g27status: i could go for a fat ass bitch on my lap"" same"
127|0.15503876|0.060869563|0.875|0.113821134|1||0.0|"""@gedmelle: 17 missed calls!!!! &#128544;&#128545;""das yo p.o bitch twitter finna be screamn #freemoneymelle"
128|0.15384616|0.060344826|0.875|0.11290323|1||0.0|"""@gtm_al: ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;"
129|0.15267175|0.05982906|0.875|0.112|1||0.0|"""@gagatom1: &#8220;@malefoot: 3 | amo los pies "" fuck yeah"
130|0.15151516|0.059322033|0.875|0.111111104|1||0.0|"""@girlthatsvonte: these hoes be thinking meat won't slap they ass &#128564;&#128075;"" ainna bruh"
131|0.15037593|0.05882353|0.875|0.11023622|1||0.0|"""@girlthatsvonte: yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;"
132|0.14925373|0.058333334|0.875|0.109375|1||0.0|"""@girlthatsvonte: yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit"
133|0.14814815|0.05785124|0.875|0.108527124|1||0.0|"""@girllssues: i wanna have sex with my mom fuck her right in that pussy where i came from"" damn you got hacked like fuck"
134|0.14705883|0.057377048|0.875|0.10769231|1||0.0|"""@gizzy_jones94: if she kiss u with her eyes open watch that bitch!""lmfao"
135|0.1459854|0.05691057|0.875|0.106870234|1||0.0|"""@goofstroop: you a woulda coulda shoulda ass hoe &#128563;&#128586;"""
136|0.14492753|0.05645161|0.875|0.1060606|1||0.0|"""@gotti_ltf: happy bday bitch ass nigga @jetsandaswisher""preciate that bitch roll up!"
137|0.1438849|0.056|0.875|0.105263166|1||0.0|"""@hbmostdope: @1jayee @pipinhoes used to send that bitch up"""
138|0.14285715|0.055555556|0.875|0.104477614|1||0.0|"""@hbmostdope: ugly bitches be like i'm my own wcw duh bitch you ain't nobody elses&#128514;&#128514;"""
139|0.14184397|0.05511811|0.875|0.10370371|1||0.0|"""@halotgmg: @1stname_bravo nigga you know we hacky sack hoes."" ...nah, i throw no look passes lmao"
140|0.14084508|0.0546875|0.875|0.10294118|1||0.0|"""@heartlessfuck: glad i'm getting outta atlanta. nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em."""
141|0.13986014|0.0546875|0.7777778|0.10218979|2||0.2|"""@hermosaalma: this isn't ghetto.....it's smart "" i'm doing this idc"
142|0.1388889|0.054263566|0.7777778|0.101449266|1||0.0|"""@hiimjorib: i would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?"
143|0.13793103|0.053846154|0.7777778|0.10071942|1||0.0|"""@hornyfacts: being single isn't an excuse to be a hoe."" @theonemiss_luu"
144|0.1369863|0.053435113|0.7777778|0.10000001|1||0.0|"""@hoskinsty96: white boy power bitch"" black power bitch"
145|0.13605443|0.053030305|0.7777778|0.09929078|1||0.0|"""@hudgens_11: lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" bro white dudes have no chill."
146|0.13513513|0.05263158|0.7777778|0.09859155|1||0.0|"""@iscoutgirls: @verbally_abrupt bitch where u been"" around the world and back. where you been?"
147|0.13422818|0.052238807|0.7777778|0.0979021|1||0.0|"""@itsyahboiray: @anelylove if i don't get my dick sucked at yo party by a bad bitch i'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *"
148|0.13333334|0.05185185|0.7777778|0.09722222|1||0.0|"""@itsyesie: #oomf is soooo cute. but he probably has hoes on him a lot."""
149|0.13245033|0.05147059|0.7777778|0.096551724|1||0.0|"""@jayten9: in every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. "" lmao damn captain saveahoe"
150|0.13815789|0.05147059|0.7777778|0.096551724|2||0.0|"""@jreebo: who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking "" hot sox and legs"
151|0.13725491|0.05109489|0.7777778|0.09589041|1||0.0|"""@jamesynba: i wish i was a bitch like my brother keezy &#128530;"" ooooow i bet you do"
152|0.13636364|0.050724637|0.7777778|0.0952381|1||0.0|"""@jasminepore: if you dressed up as a cat for halloween you are basic."" ...or a pussy"
153|0.13548388|0.05035971|0.7777778|0.09459459|1||0.0|"""@jewelxo: can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @pornhub get on it katie&lt;3"
154|0.13461539|0.05|0.7777778|0.093959734|1||0.0|"""@joebudden: stop being scared to choke her during sex u bitch ass niggas. she&#8217;ll like it."". says the guy who hits women out of bed. foh"
155|0.13375796|0.04964539|0.7777778|0.093333334|1||0.0|"""@johnny55perez: @white_thunduh ha well iguess i make them hoes loyal bro"" theyll never be loyal that y they hoes my nig"
156|0.1329114|0.049295776|0.7777778|0.09271523|1||0.0|"""@kazatta: @1takehov oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed"
157|0.13207547|0.04895105|0.7777778|0.09210526|1||0.0|"""@kelsiebelsi: you're not a man if you refer to every girl as a bitch"""
158|0.13125|0.048611112|0.7777778|0.09150327|1||0.0|"""@keyshawnswag: lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? my nigga!!!"
159|0.13664596|0.048611112|0.7777778|0.09150327|2||0.0|"""@keyshawnswag: peel up peel up bring it back up rewind back where i'm from they move shaq from the line"" ooooow who tf said that trash!!?"
160|0.13580246|0.048275862|0.7777778|0.090909086|1||0.0|"""@kingcuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha"
161|0.13496932|0.047945205|0.7777778|0.09032258|1||0.0|"""@kinghendo95: @vondreaam naw it's my old tape. new cover . my upcoming mixtape is #kingofthehill"" yeah i'm waiting on that hoe mayne!"
162|0.13414635|0.04761905|0.7777778|0.08974359|1||0.0|"""@kingteej_: ol dirty foot ass bitches.."" this was too funny to me."
163|0.13333334|0.0472973|0.7777778|0.089171976|1||0.0|"""@king_shawn_6: @white_thunduh that's where i get my yellow flags for being amazing &#128079;&#128524;"" hell yeah niggy"
164|0.13253012|0.046979867|0.7777778|0.0886076|1||0.0|"""@kissmysmilee: don't got time for bitches to be actin iffy."""
165|0.13772455|0.046979867|0.7777778|0.0886076|2||0.07692308|"""@knightfanneal #ucfpinkparty come on stay alive knights nation!!!!"" this is still the early bird special. #comeatmeut"
166|0.13690476|0.046666667|0.7777778|0.08805031|1||0.0|"""@kyranadiya_: these hoes ain't loyal ; no they ain't "" smfh &amp; wonder why nobody decent wants them"
167|0.13609467|0.046357617|0.7777778|0.087500006|1||0.0|"""@lcistj: bruh, you studs keep thinking i'm soft as hell. ask ya girl how many times she screamed she was my bitch. oh okay. stfu."" bye hoe!"
168|0.13529412|0.04605263|0.7777778|0.08695652|1||0.0|"""@lodycash: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;"
169|0.13450292|0.045751635|0.7777778|0.086419754|1||0.0|"""@lunaraps: shut yo bitch ass up! "" &#128557;&#128514;"
170|0.13372093|0.045454547|0.7777778|0.08588957|1||0.0|"""@laflaregodjosh: gucci mane in jail and dropping mixtapes every month and you hoes can't even text back"""
171|0.13294798|0.045161292|0.7777778|0.085365854|1||0.0|"""@latrobemark: you love these hoes more then money wats wrong these niggas"""
172|0.13218391|0.044871796|0.7777778|0.084848486|1||0.0|"""@lebronvuitton: a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo."" ...sounding like me over there lol"
173|0.13142857|0.044585988|0.7777778|0.084337346|1||0.0|"""@lilfridayhoe: easy cum, easy hoe"" that's a fact !"
174|0.13068181|0.044303797|0.7777778|0.08383234|1||0.0|"""@lifeasbros: charlie sheen is too real "" major fucking respect for charlie sheen."
175|0.1299435|0.044025157|0.7777778|0.08333333|1||0.0|"""@lightskingawdd: wish i had a bae &#128533;"" you got all the hoes tho"
176|0.12921348|0.04375|0.7777778|0.082840234|1||0.0|"""@lil_mike_12: fuck twerking bitch can you cook ?"""
177|0.12849163|0.04347826|0.7777778|0.08235294|1||0.0|"""@linniekravitz: @wesgodlaflare bitch wtf"" "
178|0.12777779|0.043209877|0.7777778|0.08187135|1||0.0|"""@lipe_the_great: &#8220;@h0rheyd: ""@lipe_the_great: shut up zoe"" fight me pussy&#8221; for zoe? i'm good, man."" you are good ma'am. move along now"
179|0.12707183|0.042944785|0.7777778|0.08139535|1||0.0|"""@lolaaisdope: lmao fucking snake bitches"" @ em"
180|0.12637363|0.042682927|0.7777778|0.08092485|1||0.0|"""@loveable_aizah: big booty hoes everywhere sheesh &#128525;"" damn &#127807;&#128064;&#127807;"
181|0.13114753|0.042682927|0.7777778|0.08092485|2||0.0|"""@mlbnetwork: stay tuned to @mlbnetwork for an update on the report that @yankees 1b @teixeiramark25 will be out 8-10 weeks"" @dliming35 #bum"
182|0.13586956|0.042682927|0.7777778|0.08092485|2||0.0|"""@m_rad: &#8220;@dezdlt: ""i play soccer, cheat on girls, and wear khaki coloured cargos"" haircut  yes lmfao""@soccerboy_04"
183|0.13513513|0.042424243|0.7777778|0.080459766|1||0.0|"""@madflyentist: oregon chokes every year get off the field trash ass program"" rft"
184|0.13440861|0.042168673|0.7777778|0.08|1||0.0|"""@mannydiesel: def not cowboy lol rt @artoffloyd: terrell owens was the best eagle &amp; cowboy ever"" ..dude cried like a bitch on tv, over romo"
185|0.13368984|0.04191617|0.7777778|0.07954545|0||0.0|"""@markroundtreejr: lmfaoooo i hate black people "" this is why there's black people and niggers"
186|0.13297872|0.041666668|0.7777778|0.07909605|1||0.0|"""@master11_: @20tolife_ @gabrielastarr how could u do this to me bitch"" potent"
187|0.13756613|0.041666668|0.7777778|0.07909605|2||0.0|"""@maxmayo77: "" a pissed lad past out. i would lick his dirty soles while he slept."
188|0.14210527|0.041666668|0.7777778|0.07909605|2||0.0|"""@maxmayo77: "" love frat boy w/ soft long soles"
189|0.14659686|0.041666668|0.7777778|0.07909605|2||0.0|"""@maxmayo77: "" sexy lad with hot soles and arches."
190|0.14583333|0.041420117|0.7777778|0.07865168|1||0.0|"""@megamindnick: @white_thunduh nah fam i gotta cheat with the hoes"" depends on the female i feel"
191|0.15025906|0.041420117|0.7777778|0.07865168|2||0.0|"""@mesha_nojas: @_vontethekidd &#128079;&#128079;&#128079;&#128079;&#128588;"" i got hicks lol"
192|0.14948453|0.04117647|0.7777778|0.07821229|1||0.0|"""@migsmichelen: this new twitter is confusing the shit out of me."" go back to south america bitch"
193|0.14871795|0.040935673|0.7777778|0.07777777|1||0.0|"""@miikito_x3: toto means ass or vagina?""i think pussy cause toto santi is like nasty pussy"
194|0.14795919|0.040697675|0.7777778|0.07734806|1||0.0|"""@mikelahenry: but what if he actually does choose the ugly bitch over you? &#58381;""her ass must be fat!"
195|0.14720812|0.040462427|0.7777778|0.07692307|1||0.0|"""@mileycyrus: bitch couldn't kill my vibe if ya tried. &#127752;&#127752;&#127752;"" dis why i love miley :*"
