N	Acuraccy	Precision	Recall	F-Measure	HastTag		Value	Comment
13	0.53333336	0.125	1	0.22222222	violence		0.07692308	rt organiclivefood realdonaldtrump domestic terrorism amp nihilistic violence are the natural outcomes of the economic social amp politic
14	0.5625	0.125	1	0.22222222	happiness		0	forestbathing is beneficial for both physical and mental health it helps decrease stress hormone production improve feelings of happiness and activate creativity as well as lower heart rate and blood pressure boost the immune system and accelerate recovery from illness httpstco8sqhwb9xf3
15	0.5882353	0.125	1	0.22222222	happiness		0	rt melaniekorach there is happiness in the now accept it and embrace it as much as you are able to we are all at different points of
16	0.6111111	0.125	1	0.22222222	trust		0	i see people count their chickens only to be disappointedi try to teach them to pray about it and trust god but they need to have a relationship with him first they rely on themselvespray4themfor people will be lovers of self lovers of money proud 2 timothy 32
17	0.57894737	0.11111111	1	0.19999999	violence		0	the exciting new thriller from roger peppercorn set 2 men on a trail of violence amp retribution  httpstcopek2veimtg   therogerpepper   httpstcon3hyhmxufh
18	0.55	0.1	1	0.18181819	domesticviolence		0	the will to succeed press release through the eyes of 11 mothers you are brought facetoface with their unique perspectives on life family and the pursuit of their dreams mothers mama domesticviolence nanny memaw nanny memaw httpstcoemggjvpv69
19	0.52380955	0.09090909	1	0.16666667	violence		0	rt tayshe kayleighmcenany interesting must read violence in central amp southamerica  is caused  by drugtrafficking weapons traffi
20	0.5	0.083333336	1	0.15384616	genderbasedviolence		0.06666667	rt lovemattersinfo jasmine and bhaumik dated for two years before they got married however things changed drastically after marriage b
21	0.5217391	0.083333336	1	0.15384616	trust		0	good morning to you
22	0.5416667	0.083333336	1	0.15384616	assertive		0	rt ricohcanada sometimes you should say no forbes tells us why httpstcoztu0mi6bjpno assertive leadership career business j
23	0.56	0.083333336	1	0.15384616	happiness		0	rt kingdomgospelra ? the voice of love httpstcomdalb9bmkw ??how can one find happiness a retired physicians experience tells you
24	0.53846157	0.07692308	1	0.14285713	violence		0	rt thetruth1776 when president 0 was in officei never burnt the american flagi never disrespected leos i never assaulted anyone for
25	0.5555556	0.07692308	1	0.14285713	trust		0	rt fmentalhealth this week marks a year since i left the corporate? world of recruitment here are 10 things ive learnt httpst
26	0.5714286	0.07692308	1	0.14285713	trust		0	rt barnowlcentre meet rose whos 1 of our amazing great horned eagle owls in rehab there is so much rehabilitation work going on with
27	0.55172414	0.071428575	1	0.13333334	domesticviolence		0	julia mulligan  we have all let down victims of domesticviolence in rural areas and have a duty to act httpstcoxf9lmouopp iandaypix jaymitchinson lucyleesonlive juliamulligan northyorkspfcc  ruralcrimentwk police yorkshire
28	0.56666666	0.071428575	1	0.13333334	trust		0	rt onemillionhouse harryo1975 umojaisourmight? httpstcobir1r34qapwe just need trust?? amp respect? for each otherblm blacks 
29	0.5483871	0.06666667	1	0.125	genderbasedviolence		0	our rlo on genderbasedviolence has won the institute of clinical sciences education innovation of the month for may 2019 the rlo will be officially launched at the u21health annual meeting hosted by uofgmvls in sept rlo available at httpstcotmdkzlqgup ravresearch httpstcohjelhwblbt
30	0.5625	0.06666667	1	0.125	trust		0	nevada asset protection trust  the next level of asset protection for your real estate httpstconcsp0xhtsv youtube realestateinvesting assetprotection trust httpstcofayq3kcl1n
31	0.54545456	0.0625	1	0.11764706	genderbasedviolence		0	rt womenafrica35 we cant talk enough about the physical mental and reproductive health consequences of genderbasedviolence join us as
32	0.5294118	0.05882353	1	0.111111104	genderbasedviolence		0	rt tamanirarama unimaginable preaching by a local pastor on one of our local radio station hope fm  fiji adventist church in this lo
33	0.51428574	0.055555556	1	0.10526316	violence		0	rt alitweel i struggle fighting off my demons amp i resist the urge to commit violence whenever i come across a militiaman in an unlicen
34	0.5277778	0.055555556	1	0.10526316	happiness		0	intimacy is a beautiful thing that you cannot buy  love inlove romance joy happiness happy pure genuine perfect lust sex sexual intimate intimacy loveit loved wanted life lifeforce energy care httpstcolovw9ixluj
35	0.5135135	0.05263158	1	0.099999994	violence		0	rt darnelldepalma1 cnn and back in america 157 members of the racist gop just opposed renewing the violence against women act violenc
36	0.5	0.05	1	0.095238104	violence		0	women parliamentary network zpmsrbija crossparty dialogue on reorganisation of priorities green eu region youth violence against women where would we be today without wpn plan work with committees support osceserbia undpserbia httpstcoqfaiztaldz
37	0.4871795	0.04761905	1	0.090909086	genderbasedviolence		0.05	??????? ???????? today at the icc the first attempt in any international criminal court or tribunal to prosecute genderbased persecution what a monumental day in the iccs history httpstcowdvy4zx2dy internationaljustice genderbasedviolence progress
38	0.5	0.04761905	1	0.090909086	trust		0	rt ekaspersky while diplomatic efforts continue at international forums kaspersky as a private company has come up with a practical so
39	0.4878049	0.045454547	1	0.08695653	violence		0	i thought taxes were the price we pay for a civilized society  when can people expect civility from government fail hypocrite violence freedom optout peace httpstconfnnk19ur9
40	0.47619048	0.04347826	1	0.083333336	violence		0.0952381	finally found some people who could stood against violence raised their voice and could take action rather than talking about this horrible crisis everyday lethbridge people held a protest to show solidarity to sudanese people and raise their voice against the crisis httpstcoooabxwengj
41	0.4883721	0.04347826	1	0.083333336	trust		0	rt karijoys never stop believing joytrain successtrain believe joy faith trust  rt marigelpellin httpstcougml9fq9sq
42	0.5	0.04347826	1	0.083333336	happiness		0	dont feel about the immaturity person ?ampfake peoples you getting everything by money but u cant buy happiness true love true person
43	0.51111114	0.04347826	1	0.083333336	trust		0	waiting is not fun but it can be very rewarding the lord wants us to wait on him wait waitonthelord patience christianwalk biblestudy bible psalm psalms dailydevotion itspastorjay trust trustingod bestill jesus httpstcokdtvtfynr3 httpstcodnmvigfc1g
44	0.5	0.041666668	1	0.080000006	violence		0.071428575	rt refugecharity powerful words by london mayor sadiqkhan about rising violence rates the lesson we must all learn is that you cant
45	0.5106383	0.041666668	1	0.080000006	trust		0	kimila julius i am blown away by your integrity and all the hard work you did on my behalf adamegarzalaw abogados accidentes injury lawoffice hounews workhard gratitude personalinjury lawfirm planbtelevision attorney commitment houston thankyou trust loyalty httpstcogsk6jy8og1
46	0.5	0.04	1	0.07692308	violence		0	rt salmonyouth thank you mayoroflondon for recognising the vital work we do with youngpeople to help reduce crime and violence https
47	0.48979592	0.03846154	1	0.074074075	violence		0	the exciting new thriller from roger peppercorn set 2 men on a trail of violence amp retribution  httpstcokzdlcjqyjb   therogerpepper   httpstco0flz1atllo
48	0.5	0.03846154	1	0.074074075	trust		0	rt melindancpa waiting for a tax refund from a trust or estate often the irs is holding it awaiting a response to letter 5263c or 6042
49	0.49019608	0.037037037	1	0.071428575	domesticviolence		0	womenforyang and to pay mental health workers a living wage so they can help these victims and also support themselves freedomdividend keeptalkingmh yanggang2020 domesticviolence
50	0.5	0.037037037	1	0.071428575	trust		0	without trust no company can ever hope for excellence ~ frank sonnenberg ? httpstcoonvyj0n7jg  trust httpstcou0ncm4h0vn
51	0.509434	0.037037037	1	0.071428575	happiness		0	rt createtheripple your official permission slip rt heartistatwork happy happiness positivity httpstcolfmmms9brd
52	0.5	0.035714287	1	0.068965524	domesticviolence		0	rt endvawnetwork 87000 women worldwide were killed intentionally in 2017 and more than 50000 were killed by intimate partners a new
53	0.4909091	0.03448276	1	0.06666667	domesticviolence		0	morgan amp morgan is a generous sponsor at our night of new beginnings celebrating our survivors and raising vital funds to provide services thank you forthepeopledomesticviolence domesticabuse sexualabuse stopdomesticviolence  stophumantrafficking atlanta atlantaevents httpstcosjfsyvhh5o
54	0.48214287	0.033333335	1	0.064516135	violence		0	teenager who says antigay bullying led to stabbing found guilty    school bullying violence  httpstcowdbujc7xpj
55	0.49122807	0.033333335	1	0.064516135	trust		0	when the lord is in it there is trust all around
56	0.4827586	0.032258064	1	0.0625	violence		0	fact every dad® purchase supports ending violence against women amp children our mission stop the violencestaybold tigerlight dad neveralone defensealertdevice violence httpstcoxqlynvfm16
57	0.47457626	0.03125	1	0.060606062	genderbasedviolence		0	rt lrmnetwork our women together project is looking for a volunteer with experience of working with women and girls who have experienced
58	0.48333332	0.03125	1	0.060606062	trust		0	rt dgatesphd happy upcoming anniversary drsd bff poohbear seancomesfirst gratitude foreverlove faith trust jesus christ fa
59	0.4918033	0.03125	1	0.060606062	trust		0.055555556	isnt a brand = to trust  trust = relationship relationship = getting to know each otherhow would you get to know anyone without empathy and it would be for all humans consumers customers amp 1st in both would behttpstcovbpqavisbh httpstcog3acflivvy
60	0.5	0.03125	1	0.060606062	trust		0.033333335	chroniclesie living in exhaustive state up early daily setting up laptop amp softwares soon complete actionbeliever came by car providing means to buy food i praise god httpstcoqmlazekoi9 god faith trust worship blessed entrepreneurs goals courage inspiration
61	0.50793654	0.03125	1	0.060606062	trust		0	this is tangiblealpha via tangiblealpha advisors trust purpose valuedesign financialservices martech dmm ux smm cx fintech wealthtech omnichannel httpstcorzgzn701ya
62	0.5	0.030303031	1	0.058823533	violence		0	lookout notices for campus violence accused only 4 held so farcampus violence kerala college collegestudents sfi stabbed injured arrested cpm dyfi leaders kodiyeribalakrishnan mababy hospital httpstcoj88msrjmm8
63	0.4923077	0.029411765	1	0.057142857	domesticviolence		0	rt jgmacleodauthor abalone is a story about 1st love relationship violence amp the possibility of healinghttpstcoyrcdob4qgbdo
64	0.5	0.029411765	1	0.057142857	trust		0	this is tangiblealpha via tangiblealpha advisors trust purpose valuedesign financialservices martech dmm ux smm cx fintech wealthtech omnichannel httpstcodcw6rzxiqr
65	0.49253732	0.028571429	1	0.055555552	domesticviolence		0	domesticviolence is a difficult topic to discussyet it must be asked about when a marriage is ending because if it exists in the relationship it complicates the divorce processthis post highlights what needs to be consideredhttpstcocolutyx3cg
66	0.4852941	0.027777778	1	0.054054055	violence		0.071428575	rt refugecharity powerful words by london mayor sadiqkhan about rising violence rates the lesson we must all learn is that you cant
67	0.47826087	0.027027028	1	0.05263158	violence		0	its absurd to imply conservative groups have a monopoly on hate assaults and violence the socialist left has deep roots in hatreda bill adopting splcenters definition of a hate group will be highly problematiccommentary by mark hendrickson httpstcoht7qx4g1wh
68	0.4857143	0.027027028	1	0.05263158	trust		0	the fdaema agreement a freetrade full faith and credit deal is an impressive yet frightening example of transborder trust pharma httpstcosc2kjp8ghb
69	0.49295774	0.027027028	1	0.05263158	trust		0	rt ranal55 sometimes god is the only one who can fix your predicamentthats when you should stop struggling and trust himquote  g
70	0.5	0.027027028	1	0.05263158	assertive		0	watch now do you know how to make a positive impact on the people you talk to watch these examples of good and poor ways to be assertive confident and interesting in conversations and see which one youd rather be httpstcopy8ydhkcmb
71	0.49315068	0.02631579	1	0.051282052	domesticviolence		0	rt jgmacleodauthor abalone is a story about 1st love relationship violence amp the possibility of healinghttpstcoyrcdob4qgbdo
72	0.4864865	0.025641026	1	0.049999997	genderbasedviolence		0	rt peacepanel peacebuilding starts at home our community panel will deliberate on family as foundation of peaceful communities next
73	0.48	0.025	1	0.04878049	domesticviolence		0	rt peacepanel peacebuilding starts at home our community panel will deliberate on family as foundation of peaceful communities next
74	0.4868421	0.025	1	0.04878049	happiness		0	thank you nick and danielle for sharing such a wonderful evening with me last nighthair and makeup ? honorbeauty andreasimpressions niagaraweddingphotographer engagementphotos shesaidyes bridetobe engagementphotography cute happiness tur httpstcozfqrjgfjuf httpstcozdojzrrxrq
75	0.48051947	0.024390243	1	0.04761905	domesticviolence		0	my latest paper barriers to disclosing elderabuse and taking action in australia  with the folks from nageingri is now available in the journal of familyviolence jofvtweets see httpstcokhvf785vjb ageing domesticviolence
76	0.4871795	0.024390243	1	0.04761905	trust		0.037037037	great job norahodonnell cbseveningnews looking forward to your coverage for many years nice remarks amp tribute to edwardrmurrow teach illuminate and inspire theres a battle to be fought against ignorance intolerance indifference trust you will use it well integrity
77	0.49367088	0.024390243	1	0.04761905	trust		0	travisvo thank you for getting connected your posts convey to me that you are focused on building trust thru your work honoured httpstcojgbuqaqvay
78	0.4875	0.023809524	1	0.046511628	violence		0.04761905	rare glimpse of a holding cell in el salvador many of these men stay here for months before seeing a judge dont ask how we got in violence gangs elsalvador journalism travel httpstco2hudcnz7r2
79	0.4814815	0.023255814	1	0.045454543	domesticviolence		0.03846154	accepting submissions for my survivors blog feel free to dm with questions keeptalkingmh depression mentalhealth csa abuse domesticviolence eatingdisorders lgbtq if you have trouble writing your story dm me and will work out another way to go dms are open httpstcouatk4nzukl
80	0.4878049	0.023255814	1	0.045454543	trust		0	rt cyberwatchingeu the next eubudget will be deployed €2 billion to boost cybersecurity amp trust uptake amp development ??take a look at
81	0.48192772	0.022727273	1	0.044444446	domesticviolence		0	i had no idea until i started digging into this topic that theres even some reasonable arguments to be made against the status quo system of using secretlocation shelter for victims of domesticviolence a socialwork prof policyutsa told me more about that controversy
82	0.48809522	0.022727273	1	0.044444446	happiness		0	rt ljc280view smile its contagioussmile smiles positivevibes positiveenergy goodvibes tuesdaymotivation tuesdayinspiration 
83	0.49411765	0.022727273	1	0.044444446	trust		0	just an old posthonesty love truth motivation inspiration life mindfulness trust meditation quotes gratitude respect art positivevibes integrity kindness peace growth hope god depression httpstcop7gcotpkbn
84	0.4883721	0.022222223	1	0.043478258	genderbasedviolence		0.071428575	rt mumsvillage family therapist jane kuria advises on communication and emotional abuse how do you deal with silent treatment gtgtgthttps
85	0.4827586	0.02173913	1	0.042553194	domesticviolence		0.05	global estimate of the number of homicides that were intimate partner homicides51537 females of 133691 homicides of females and 23429 males of 373077 homicides of malesderived from data table p 862ipv dv homicide domesticviolence httpstco8znwlatpoo
86	0.48863637	0.02173913	1	0.042553194	trust		0	rt setlinger gr8 stats in this ai trust survey by capgemini among consumers surveyed59 said that they would have higher loyalty
87	0.48314607	0.021276595	1	0.041666664	domesticviolence		0	rt ramarajeswari intimate partner violence some victims do not leave an abusive relationship because they fear they will be subjected
88	0.47777778	0.020833334	1	0.040816326	genderbasedviolence		0.05263158	our women together project is looking for a volunteer with experience of working with women and girls who have experienced gender based violence or domestic abuse genderbasedviolence to find out more about the role and apply go here httpstcoh2aobehs80
89	0.48351648	0.020833334	1	0.040816326	trust		0	rt infocertit artificial intelligence and software automation the need for trust in the banking sector join the webinar held by infoce
90	0.47826087	0.020408163	1	0.04	genderbasedviolence		0	rt peacepanel peacebuilding starts at home our community panel will deliberate on family as foundation of peaceful communities next
91	0.47311828	0.02	1	0.039215688	domesticviolence		0	rt peacepanel peacebuilding starts at home our community panel will deliberate on family as foundation of peaceful communities next
92	0.4787234	0.02	1	0.039215688	trust		0	rt ranal55 sometimes god is the only one who can fix your predicamentthats when you should stop struggling and trust himquote  g
93	0.48421052	0.02	1	0.039215688	happiness		0	rt garyblehm grin big outdoors grinbig outdoors smilemore happiness optimism theoptimist garyblehm penman apparel outdoorgear
94	0.47916666	0.019607844	1	0.038461536	violence		0	social media was created to bridge the gap bw people amp distances has created havoc amp biggest cause of todays world disorder socialmedia world peaceandlove peaceful prosperity love addiction stressed stress anxietydisorder depressionisreal violence httpstconzzdcf29w9
95	0.4742268	0.01923077	1	0.037735853	domesticviolence		0	headlinesenterainment wizkid is in the news for allege domestic violence on his 3rd baby mamajada in a post says i cant raise my son in this kind of unhealthy environmentany thought on this allegationwizkid jada domesticviolence theheadlinesng httpstcoshtqjypg8o
96	0.47959185	0.01923077	1	0.037735853	trust		0	check spiritualawak3ning out for inner balance and balance of chakraschakra innerpeace spirituality trust peace calm mind soul hope destiny wisdom compassion forgiveness thankful knowledge meditation life meditate guidance httpstcop4jn10w85k
97	0.4848485	0.01923077	1	0.037735853	happiness		0	rt jacklawsome happiness and freedom begin with a clear understanding of one principlesome things are within our controland some thi
98	0.48	0.018867925	1	0.037037037	genderbasedviolence		0	rt aarambhindia last week aarambhindia participated in the workshop understanding the approach of raising gender equitable boys conduc
99	0.47524753	0.018518519	1	0.036363635	violence		0	rt amierasawas this is an excellent opportunity for a researcher to work w range of institutions across global south on  urban viole
100	0.48039216	0.018518519	1	0.036363635	trust		0	happy worldyouthskillsday did you know were an accredited apprenticeship training provider read more here httpstcopahbeoiwlo  recruitment staffing employment jobs trust apprenticeships httpstcoalkvcze2qg
101	0.47572815	0.018181818	1	0.035714284	domesticviolence		0	rt ramarajeswari familiar story abusive relationships  why its so hard for women to just leaveif he was a monster all the time
102	0.47115386	0.017857144	1	0.03508772	violence		0	rt dublincpi 35 per cent of women over the age of fifteen have experienced sexual or physical violence at home in their communities o
103	0.46666667	0.01754386	1	0.03448276	domesticviolence		0	there are so many ways of being violent to a woman that are not in fact criminal womenspanel nafa tenillemc marywho4810 janecaro qld auspol domesticterrorism domesticabusebill domesticviolence httpstco7uu88a0eda
104	0.46226415	0.01724138	1	0.033898305	violence		0	ridesafeworld pollux2789 antiuber riots thats not taxi cab driven violentbehavior violence  ridesafeworld transportationsafety
105	0.46728972	0.01724138	1	0.033898305	happiness		0	go after cause rather than symptoms ?happiness growth growthmindset constantandneverendingimprovement mindset lifecoaching progress personalpower performance personalgrowth personaldevelopment selfhelp httpstco2zp0ahw1uz
106	0.4722222	0.01724138	1	0.033898305	trust		0	rt karijoys never stop believing joytrain successtrain believe joy faith trust  rt marigelpellin httpstcougml9fq9sq
107	0.47706422	0.01724138	1	0.033898305	happiness		0	the braids r baaack??this time not 2 but 5??? ??swipe braids braidsstyle braidslover love happiness instagood httpstcodes1qvj5hj
108	0.47272727	0.016949153	1	0.03333333	violence		0.071428575	rt refugecharity powerful words by london mayor sadiqkhan about rising violence rates the lesson we must all learn is that you cant
109	0.46846846	0.016666668	1	0.032786887	violence		0	fbi icerepublicans lawslets get this bartender kicked off twitterreport reportreporteveryone can report her to twitter for violating federal laws and inciting violence httpstcozgvhinakrd
110	0.4642857	0.016393442	1	0.032258064	violence		0.071428575	rt refugecharity powerful words by london mayor sadiqkhan about rising violence rates the lesson we must all learn is that you cant
111	0.46902654	0.016393442	1	0.032258064	happiness		0.03846154	tuesdaytruth i always go by amp use logics not emotions of the heart or fragile egos reality facts transform profound revolution unit all world live better spiritual mental physical finacial happiness httpstcodttwrhc2mi
112	0.47368422	0.016393442	1	0.032258064	trust		0	rt lpbulldog we have 11 days of strength and conditioning and 6 days of skills before august 5th give yourself the opportunity to have
113	0.47826087	0.016393442	1	0.032258064	trust		0	we had a great day with elementary principals and teachers discussing building relationships in our capturing kids hearts training  creating a climate inviting for all students and adults is a priority for our district  24strong trust httpstco3c2aoptr1w
114	0.47413793	0.016129032	1	0.03174603	violence		0	rt approvedamerica depersonalize and shift from reactive to proactive   muslim immigrant congresswomen   it must not be easy comin
115	0.47863248	0.016129032	1	0.03174603	trust		0	this is tangiblealpha via tangiblealpha advisors trust purpose valuedesign financialservices martech dmm ux smm cx fintech wealthtech omnichannel httpstcogkzeu2zsg8
116	0.47457626	0.015873017	1	0.03125	violence		0.03846154	httpstcoq3qpzz07ft  nba wnba when things become notorary public then needed to implement civil policy of non dating within the workforce of workers amp coworkers  it needs to be within the code of conduct starting now  we do not support domestic violence
117	0.47058824	0.015625	1	0.03076923	violence		0	rt edewbg an effective legal and referral system is critical to addressing genderbased violence gbv httpstcohogqijdbca wbgge
118	0.46666667	0.015384615	1	0.03030303	violence		0.071428575	rt refugecharity powerful words by london mayor sadiqkhan about rising violence rates the lesson we must all learn is that you cant
119	0.47107437	0.015384615	1	0.03030303	happiness		0	rt th31stqu33n good morning gorgeous beings start a new book and expand your mind knowledge is a minds playground  motivation entrep
120	0.46721312	0.015151516	1	0.029850747	genderbasedviolence		0	rt womenafrica35 we cant talk enough about the physical mental and reproductive health consequences of genderbasedviolence join us as
121	0.46341464	0.014925373	1	0.029411765	domesticviolence		0	wizkids 3rd babymama jada pollock disassociate herself from wizkid over domesticviolencewizkid ayos third baby mama and manager jada pollock announces their break up over domestic violenceaccording to httpstcovjmnfzbn7m
122	0.46774194	0.014925373	1	0.029411765	trust		0	pure lovelove peace maturation joy wholeness oneness appreciation trust honesty compassion understanding patience kindness queenbmichelle httpstcoaz5jsypuwe
123	0.464	0.014705882	1	0.028985508	domesticviolence		0	tune into espn at 1pmet  prof mccannsportslaw talks about domesticviolence in the wnba on otlonespn in the meantime get up to speed with his recent sinow article ?? httpstco0zngczdatk
124	0.46825397	0.014705882	1	0.028985508	happiness		0	its just a fish and chips kinda night ? ?  sunshine happiness chillednights ?
125	0.46456692	0.014492754	1	0.028571429	violence		0.071428575	rt refugecharity powerful words by london mayor sadiqkhan about rising violence rates the lesson we must all learn is that you cant
126	0.4609375	0.014285714	1	0.028169015	violence		0	india fight back against the sexual assault how to teach your kids about the bad touchsee httpstcoon0io5sii4isrgrajan sundaymotivation isrgrajan childsexualassault nostrictrules parents saftey sexualabuse sexualassault violence womensexualassault httpstcobcxksrhgx7
127	0.45736435	0.014084507	1	0.027777778	genderbasedviolence		0	rt womenafrica35 we cant talk enough about the physical mental and reproductive health consequences of genderbasedviolence join us as
128	0.46153846	0.014084507	1	0.027777778	trust		0	a whole new level of mutual  trust httpstcotnrvwnccgq
129	0.45801526	0.013888889	1	0.027397262	domesticviolence		0	ill be single before i settle stageplay brings awareness to domestic violence did you know that 20 people experience intimate partner physical violence every minute tickets at httpstcoddjgwvrffj domesticviolence houstontxblack houstonpress haatx houstonareanews
130	0.46212122	0.013888889	1	0.027397262	trust		0	our mission is to make your world safer and safety is important to us across everything we do httpstco82vfvi82il  trust healthandsafety security
131	0.46616542	0.013888889	1	0.027397262	happiness		0	kalyanistepwell cleaned by yuvabrigade koratagere tumkur 15 days back now filling with fresh water happiness satisfaction jalajeevana ?yuvabrigade mowrrdgr astitvam chandrurastra httpstcopytsypkhnw
132	0.46268657	0.01369863	1	0.027027028	violence		0	rt salmonyouth thank you mayoroflondon for recognising the vital work we do with youngpeople to help reduce crime and violence https
133	0.45925927	0.013513514	1	0.026666665	domesticviolence		0	wizkids 3rd babymama jada pallock who doubled as his manager cuts ties with him accusing him of violencejada wizkid wcw mcm domesticviolence wednesdaymotivation wednesdaygrind wednesdaywisdom wednesdaymood wednesdayhumor wednesdayvibes instablog httpstcoosdkrnd6vi
134	0.4632353	0.013513514	1	0.026666665	trust		0	our father in heaven desires to win your trust even though he is always worthy of your trust god
135	0.46715328	0.013513514	1	0.026666665	trust		0.05882353	symbols of trust are all around us aristotles philosophy of friendship identified three kinds of relationships those of utility pleasure and virtue which kinds do you haverecruitment staffing employment jobs trust friendship
136	0.46376812	0.013333334	1	0.02631579	violence		0.05263158	i thought i would check on syria the violence is not over the most recent report from the syrianobservatoryforhumanrights reports 10 civilians killed kurds in afrin syria is completely out of the us news cycle despite these events httpstcolmsr1rlh1a
137	0.46043167	0.013157895	1	0.025974028	violence		0	man arrested while having seizure says police held him for no reasonthis is the sort of policebrutality we have come to expect in the usa  it cannot be tolerated in the ukpolice violence force bluebadge parking policeviolence guardianhttpstcoyhvzlybnsy
138	0.4642857	0.013157895	1	0.025974028	trust		0	rt ranal55 sometimes god is the only one who can fix your predicamentthats when you should stop struggling and trust himquote  g
139	0.4680851	0.013157895	1	0.025974028	trust		0	rt imfingers i just want to be the best in order to be the best u have to beat the best and that comes with dedication and desire but onc
140	0.471831	0.013157895	1	0.025974028	trust		0	rt grazytgrazynatt ??have a successful time proedutech yourmustread influencerpromotion topcasestudy cybersecurity knowledge mega
141	0.46853146	0.012987013	1	0.025641026	genderbasedviolence		0	genderbasedviolence the woman was eight months pregnant when she was killed in the bedroom of her homehttpstcokw6zhw5fxv
142	0.4722222	0.012987013	1	0.025641026	happiness		0	do what you love together with the person you lovemountains mountainclimbing climb trek hike adventure journey beautifuldestinations beatifulscenery nature naturephotography naturelovers travelgram itsmorefuninphilippines travelphoto happiness enjoylife httpstcokubvfhj6ae
143	0.47586206	0.012987013	1	0.025641026	trust		0	rt rillil all actors of society are needed to achieve sdgs together however without trust and respect it wont work honest debate in
144	0.47945204	0.012987013	1	0.025641026	trust		0	rt fredgarnett but if we really do trust the learner and education university leaders do not then as learning is emergent we ca
145	0.4829932	0.012987013	1	0.025641026	trust		0	god always knows what hes doing so i trust his plans
146	0.47972974	0.012820513	1	0.025316456	violence		0	armed antifa fire bombs ice facility is shot and killed by police httpstco6uxwbgfz6n via youtube antifa violence extremeleft mediabrainwash totalitarianleft communists
147	0.47651008	0.012658228	1	0.025	violence		0	rt sue51684 wakeupamerica everything you ever wanted to know about antifa knowyourenemy antifa  discover the networks  https
148	0.48	0.012658228	1	0.025	trust		0.05	rillil santalasatu action4sd forusint fingofi finlandun sitoumus2050 12 universal principles to elevate trust and respect even available in finnish httpstcogazsobnlfc sdgs together finland
149	0.47682118	0.0125	1	0.024691356	domesticviolence		0.06666667	journey of destructionand the next time but im a nice guy pops into your sididdy head dont ignore all the bad shit that youre hidingbiancadevinsdomesticviolence misogyny
150	0.47368422	0.012345679	1	0.024390245	domesticviolence		0	rt jgmacleodauthor abalone is a story about 1st love relationship violence amp the possibility of healinghttpstcoyrcdob4qgbdo
151	0.47058824	0.012195122	1	0.024096385	domesticviolence		0	healing is not the same for everyone because our experiences differ while therapists use similar techniques to reach a similar goal they are going to have various approaches that have similar but different outcomes httpstcoaspj0bagyt btsadv domesticviolence
152	0.47402596	0.012195122	1	0.024096385	happiness		0	rt mapprr how else can we make you happy comment belowmapprrapp mapprr productdelivery hyperlocal happiness nearme grocery
153	0.47096774	0.012048192	1	0.023809522	genderbasedviolence		0	rt tamanirarama unimaginable preaching by a local pastor on one of our local radio station hope fm  fiji adventist church in this lo
154	0.4679487	0.011904762	1	0.023529414	violence		0	lets just keep watching american movies filled with gun violence blood amp guts instead netflix sure its not like america has a problem with guns amp school shootings followed by the  shooters suicide httpstcogxmkbbnfhd
